"BUILDING.ID","BUILDING.ADDRESS","POSTAL.CODE","Longitude","Latitude","Census_Tract_GEOID"
"462244854344","900 N CAHUENGA BLVD","90038",-118.32879,34.087254,"6037191810"
"462250860777","1851 IVAR AVE","90028",-118.32818,34.104927,"6037190201"
"462256858294","6363 W SUNSET BLVD","90028",-118.328064,34.097996,"6037190700"
"462342858313","6353 W SUNSET BLVD","90028",-118.32787,34.097996,"6037190700"
"462355853681","836 N CAHUENGA BLVD","90038",-118.32878,34.086014,"6037191820"
"462366855498","6350 SANTA MONICA BLVD","90038",-118.32782,34.090733,"6037191810"
"462366859664","6331 HOLLYWOOD BLVD","90028",-118.32769,34.10162,"6037190201"
"462368859371","6340 HOLLYWOOD BLVD","90028",-118.327934,34.10161,"6037190700"
"462381858921","1602 IVAR AVE","90028",-118.32814,34.099953,"6037190700"
"462422850597","301 N ROSSMORE AVE","90004",-118.32713,34.076298,"6037192300"
"462432856827","1253 VINE ST","90038",-118.326645,34.093796,"6037190802"
"462436852308","601 N ROSSMORE AVE","90004",-118.32718,34.08179,"6037192300"
"462442851403","501 N ROSSMORE AVE","90004",-118.32728,34.079163,"6037192300"
